Claude Code 特性清单,类别,子类别,功能名称,描述,详细信息/示例
核心功能,概述,是什么,Claude Code 是 Anthropic 的代理编码工具,"在终端中运行，帮助您比以往更快地将想法转化为代码"
核心功能,概述,构建功能,从描述中构建功能,"告诉 Claude 您想用纯英语构建什么。它将制定计划、编写代码并确保其工作"
核心功能,概述,调试和修复问题,描述错误或粘贴错误消息,Claude Code 分析代码库、识别问题并实施修复
核心功能,概述,导航任何代码库,询问团队代码库的任何问题,获取深思熟虑的答案
核心功能,概述,自动化繁琐任务,修复琐碎的 lint 问题、解决合并冲突、编写发布说明
核心功能,概述,Unix 哲学,可组合和可脚本化,"支持管道输入，如 tail -f app.log | claude -p ""Slack me if you see any anomalies"""
核心功能,概述,企业就绪,支持 Claude API、AWS 或 GCP,企业级安全、隐私和合规
安装,方式,NPM 安装,npm install -g @anthropic-ai/claude-code,需要 Node.js 18 或更新版本
安装,方式,Homebrew 安装,brew install --cask claude-code,适用于 macOS、Linux
安装,方式,curl 安装,curl -fsSL https://claude.ai/install.sh | bash,适用于 macOS、Linux、WSL
安装,方式,PowerShell 安装,irm https://claude.ai/install.ps1 | iex,适用于 Windows PowerShell
安装,方式,CMD 安装,curl -fsSL https://claude.ai/install.cmd -o install.cmd && install.cmd,适用于 Windows CMD
安装,账户类型,Claude.ai,订阅计划（推荐）,支持 Pro、Max、Team 计划
安装,账户类型,Claude Console,API 访问（预付费信用）,适合企业用户
安装,登录,/login,首次使用时提示登录,凭证存储在本地
CLI 命令,基本命令,claude,启动交互式 REPL,claude
CLI 命令,基本命令,claude "query",使用初始提示启动 REPL,claude "explain this project"
CLI 命令,基本命令,claude -p "query",通过 SDK 查询然后退出,claude -p "explain this function"
CLI 命令,基本命令,cat file | claude -p "query",处理管道内容,cat logs.txt | claude -p "explain"
CLI 命令,基本命令,claude -c,继续最近的对话,claude -c
CLI 命令,基本命令,claude -r "<session-id>" "query",按 ID 恢复会话,claude -r "abc123" "Finish this PR"
CLI 命令,基本命令,claude update,更新到最新版本,claude update
CLI 命令,基本命令,claude mcp,配置 MCP 服务器,用于 Model Context Protocol 配置
CLI 命令,CLI 标志,--add-dir,添加额外工作目录,claude --add-dir ../apps ../lib
CLI 命令,CLI 标志,--agents,动态定义自定义子代理,JSON 格式配置
CLI 命令,CLI 标志,--allowedTools,允许无需权限的工具列表,"Bash(git log:*) ""Bash(git diff:*)""Read"""
CLI 命令,CLI 标志,--disallowedTools,禁止的工具列表,"Bash(git log:*) ""Read(./.env)"""
CLI 命令,CLI 标志,--print/-p,打印响应无需交互模式,claude -p "query"
CLI 命令,CLI 标志,--output-format,指定输出格式,text/json/stream-json
CLI 命令,CLI 标志,--input-format,指定输入格式,text/stream-json
CLI 命令,CLI 标志,--verbose,启用详细日志,显示完整的轮次输出
CLI 命令,CLI 标志,--max-turns,限制代理轮次数量,claude -p --max-turns 3 "query"
CLI 命令,CLI 标志,--model,设置会话模型,sonnet/opus 或完整模型名
CLI 命令,CLI 标志,--permission-mode,开始指定的权限模式,plan/acceptEdits/bypassPermissions
CLI 命令,CLI 标志,--permission-prompt-tool,非交互模式下的权限提示工具,MCP 工具处理
CLI 命令,CLI 标志,--resume,按 ID 恢复特定会话,claude --resume abc123 "query"
CLI 命令,CLI 标志,--continue,加载当前目录的最近对话,claude --continue
CLI 命令,CLI 标志,--dangerously-skip-permissions,跳过权限提示（谨慎使用）,claude --dangerously-skip-permissions
斜杠命令,内置命令,/add-dir,添加额外工作目录,添加 Claude 可访问的工作目录
斜杠命令,内置命令,/agents,管理自定义 AI 子代理,用于专门任务
斜杠命令,内置命令,/bug,报告错误,将对话发送给 Anthropic
斜杠命令,内置命令,/clear,清除对话历史,清除会话中的对话
